Equipment ID,Type,Customer ID,Site ID,cycle_number,health_score,is_anomaly_pred,hard_rules,reasons,is_anomaly_ground_truth
EQX1000,Grader,CUST18,S004,1,100,False,,,False
EQX1000,Grader,CUST15,S003,2,100,False,,,False
EQX1000,Grader,CUST18,S002,3,100,False,,,False
EQX1000,Grader,CUST16,S005,4,100,False,,,False
EQX1000,Grader,CUST13,S001,5,100,False,,,False
EQX1000,Grader,CUST09,S004,6,100,False,,,False
EQX1000,Grader,CUST12,S006,7,100,False,,,False
EQX1000,Grader,CUST13,S003,8,100,False,,,False
EQX1000,Grader,CUST15,S003,9,35,True,no_operator,No operator assigned | High idle ratio (76% > 55% threshold) | Severe idle time (11.2 idle hrs/day),True
EQX1000,Grader,CUST12,S004,10,100,False,,,False
EQX1000,Grader,CUST07,S006,11,100,False,,,False
EQX1000,Grader,CUST09,S004,12,100,False,,,False
EQX1000,Grader,CUST02,S002,13,100,False,,,False
EQX1001,Grader,CUST17,S006,1,100,False,,,False
EQX1001,Grader,CUST03,S004,2,100,False,,,False
EQX1001,Grader,CUST08,S002,3,100,False,,,False
EQX1001,Grader,CUST02,S001,4,100,False,,,False
EQX1001,Grader,CUST16,S003,5,60,False,,High idle ratio (58% > 55% threshold) | Low utilization (engine 2.8 hrs/day < 6 expected),False
EQX1001,Grader,CUST03,S001,6,100,False,,,False
EQX1001,Grader,CUST04,S001,7,100,False,,,False
EQX1001,Grader,CUST14,S006,8,100,False,,,False
EQX1001,Grader,CUST15,S001,9,100,False,,,False
EQX1001,Grader,CUST06,S003,10,100,False,,,False
EQX1001,Grader,CUST01,S003,11,60,False,,High idle ratio (59% > 55% threshold) | Low utilization (engine 2.5 hrs/day < 6 expected),False
EQX1002,Crane,CUST07,S001,1,100,False,,,False
EQX1002,Crane,CUST02,S002,2,40,True,,High idle ratio (94% > 50% threshold) | Severe idle time (11.9 idle hrs/day) | Low utilization (engine 0.7 hrs/day < 5 expected),True
EQX1002,Crane,CUST17,S004,3,100,False,,,False
EQX1002,Crane,CUST13,S004,4,75,False,,High idle ratio (56% > 50% threshold),False
EQX1002,Crane,CUST17,S003,5,100,False,,,False
EQX1002,Crane,CUST16,S001,6,100,False,,,False
EQX1002,Crane,CUST16,S003,7,100,False,,,False
EQX1002,Crane,CUST05,S004,8,35,True,no_operator,No operator assigned | High idle ratio (81% > 50% threshold) | Severe idle time (11.0 idle hrs/day),True
EQX1002,Crane,CUST17,S004,9,100,False,,,False
EQX1002,Crane,CUST11,S005,10,75,False,,High idle ratio (51% > 50% threshold),False
EQX1002,Crane,CUST09,S004,11,100,False,,,False
EQX1002,Crane,CUST10,S005,12,75,False,,High idle ratio (51% > 50% threshold),False
EQX1003,Excavator,CUST13,S003,1,40,True,,High idle ratio (84% > 60% threshold) | Severe idle time (9.4 idle hrs/day) | Low utilization (engine 1.8 hrs/day < 8 expected),True
EQX1003,Excavator,CUST15,S005,2,60,False,,High idle ratio (88% > 60% threshold) | Low utilization (engine 1.1 hrs/day < 8 expected),False
EQX1003,Excavator,CUST13,S005,3,100,False,,,False
EQX1003,Excavator,CUST06,S006,4,100,False,,,False
EQX1003,Excavator,CUST08,S005,5,85,False,,Low utilization (engine 3.7 hrs/day < 8 expected),False
EQX1003,Excavator,CUST07,S003,6,60,False,,High idle ratio (86% > 60% threshold) | Low utilization (engine 1.3 hrs/day < 8 expected),True
EQX1003,Excavator,CUST07,S001,7,100,False,,,False
EQX1003,Excavator,CUST06,S002,8,85,False,,Low utilization (engine 3.8 hrs/day < 8 expected),False
EQX1003,Excavator,CUST18,S001,9,85,False,,Low utilization (engine 3.7 hrs/day < 8 expected),False
EQX1004,Crane,CUST08,S002,1,40,True,,High idle ratio (92% > 50% threshold) | Severe idle time (9.8 idle hrs/day) | Low utilization (engine 0.9 hrs/day < 5 expected),True
EQX1004,Crane,CUST13,S004,2,40,True,,High idle ratio (100% > 50% threshold) | Severe idle time (12.8 idle hrs/day) | Low utilization (engine 0.0 hrs/day < 5 expected),True
EQX1004,Crane,CUST02,S002,3,100,False,,,False
EQX1004,Crane,CUST17,S005,4,100,False,,,False
EQX1004,Crane,CUST05,S006,5,100,False,,,False
EQX1004,Crane,CUST17,S002,6,40,True,,High idle ratio (100% > 50% threshold) | Severe idle time (11.1 idle hrs/day) | Low utilization (engine 0.0 hrs/day < 5 expected),True
EQX1004,Crane,CUST12,,7,40,True,no_site,No site assigned | High idle ratio (75% > 50% threshold) | Low utilization (engine 2.0 hrs/day < 5 expected),True
EQX1004,Crane,CUST07,S006,8,100,False,,,False
EQX1004,Crane,CUST06,S001,9,100,False,,,False
EQX1004,Crane,CUST05,S002,10,100,False,,,False
EQX1004,Crane,CUST16,S003,11,100,False,,,False
EQX1004,Crane,CUST05,S002,12,40,True,,High idle ratio (100% > 50% threshold) | Severe idle time (9.5 idle hrs/day) | Low utilization (engine 0.0 hrs/day < 5 expected),True
EQX1004,Crane,CUST02,S001,13,100,False,,,False
EQX1004,Crane,CUST11,S005,14,100,False,,,False
EQX1004,Crane,CUST14,S002,15,55,True,,High idle ratio (76% > 50% threshold) | Severe idle time (11.3 idle hrs/day),True
EQX1005,Bulldozer,CUST17,S005,1,100,False,,,False
EQX1005,Bulldozer,CUST15,S001,2,100,False,,,False
EQX1005,Bulldozer,CUST06,S006,3,100,False,,,False
EQX1005,Bulldozer,CUST08,S005,4,100,False,,,False
EQX1005,Bulldozer,CUST02,S003,5,100,False,,,False
EQX1005,Bulldozer,CUST17,S004,6,100,False,,,False
EQX1005,Bulldozer,CUST10,S005,7,100,False,,,False
EQX1005,Bulldozer,CUST09,S003,8,100,False,,,False
EQX1005,Bulldozer,CUST09,S002,9,100,False,,,False
