Equipment ID,Type,cycle_number,gap_days_to_next_checkout,is_last_cycle,label,idle_ratio,utilization,rental_length_days,n_prior_cycles,prior_idle_ratio_mean,prior_utilization_mean,prior_idle_ratio_last,prior_rental_length_mean
EQX1000,Grader,1,8,False,0,0.41791044776119407,0.65,28,0,,,,
EQX1000,Grader,2,10,False,0,0.3731343283582089,0.7000000000000001,16,1,0.41791044776119407,0.65,0.41791044776119407,28.0
EQX1000,Grader,3,4,False,0,0.22413793103448276,0.75,27,2,0.3955223880597015,0.675,0.3731343283582089,22.0
EQX1000,Grader,4,4,False,0,0.31428571428571433,0.7999999999999999,19,3,0.3383942357179619,0.7000000000000001,0.22413793103448276,23.666666666666668
EQX1000,Grader,5,5,False,0,0.2857142857142857,0.8333333333333334,28,4,0.3323671053599,0.725,0.31428571428571433,22.5
EQX1000,Grader,6,13,False,0,0.2333333333333333,0.7666666666666666,27,5,0.32303654143077715,0.7466666666666667,0.2857142857142857,23.6
EQX1000,Grader,7,1,False,0,0.46551724137931033,0.5166666666666667,21,6,0.30808600674786984,0.75,0.2333333333333333,24.166666666666668
EQX1000,Grader,8,11,False,0,0.2647058823529412,0.8333333333333334,26,7,0.33057618312378995,0.7166666666666667,0.46551724137931033,23.714285714285715
EQX1000,Grader,9,7,False,0,0.7619047619047619,0.5833333333333334,13,8,0.3223423955274338,0.73125,0.2647058823529412,24.0
EQX1000,Grader,10,23,False,1,0.467741935483871,0.5499999999999999,27,9,0.37118265845824805,0.7148148148148148,0.7619047619047619,22.77777777777778
EQX1000,Grader,11,2,False,0,0.3692307692307692,0.6833333333333332,19,10,0.38083858616081034,0.6983333333333334,0.467741935483871,23.2
EQX1000,Grader,12,3,False,0,0.18749999999999997,0.8666666666666667,11,11,0.37978333007626114,0.696969696969697,0.3692307692307692,22.818181818181817
EQX1000,Grader,13,8,True,,0.44776119402985076,0.6166666666666667,10,12,0.3637597192365727,0.7111111111111111,0.18749999999999997,21.833333333333332
EQX1001,Grader,1,17,False,1,0.20312500000000003,0.85,19,0,,,,
EQX1001,Grader,2,40,False,1,0.44776119402985076,0.6166666666666667,13,1,0.20312500000000003,0.85,0.20312500000000003,19.0
EQX1001,Grader,3,10,False,0,0.4857142857142857,0.6,12,2,0.3254430970149254,0.7333333333333334,0.44776119402985076,16.0
EQX1001,Grader,4,17,False,1,0.30303030303030304,0.7666666666666666,28,3,0.3788668265813788,0.6888888888888888,0.4857142857142857,14.666666666666666
EQX1001,Grader,5,0,False,0,0.5757575757575758,0.4666666666666666,27,4,0.35990769569360986,0.7083333333333333,0.30303030303030304,18.0
EQX1001,Grader,6,2,False,0,0.390625,0.65,15,5,0.4030776717064031,0.6599999999999999,0.5757575757575758,19.8
EQX1001,Grader,7,6,False,0,0.29411764705882354,0.7999999999999999,15,6,0.40100222642200256,0.6583333333333333,0.390625,19.0
EQX1001,Grader,8,14,False,1,0.338235294117647,0.75,28,7,0.3857330007986913,0.6785714285714286,0.29411764705882354,18.428571428571427
EQX1001,Grader,9,4,False,0,0.29230769230769227,0.7666666666666666,13,8,0.37979578746356074,0.6875,0.338235294117647,19.625
EQX1001,Grader,10,27,False,1,0.42028985507246375,0.6666666666666666,10,9,0.37007488800179755,0.6962962962962963,0.29230769230769227,18.88888888888889
EQX1001,Grader,11,27,True,,0.5901639344262296,0.4166666666666667,16,10,0.3750963847088642,0.6933333333333334,0.42028985507246375,18.0
EQX1002,Crane,1,5,False,0,0.3833333333333333,0.74,25,0,,,,
EQX1002,Crane,2,25,False,1,0.9444444444444445,0.13999999999999999,21,1,0.3833333333333333,0.74,0.3833333333333333,25.0
EQX1002,Crane,3,1,False,0,0.32727272727272727,0.74,26,2,0.663888888888889,0.44,0.9444444444444445,23.0
EQX1002,Crane,4,5,False,0,0.5555555555555556,0.5599999999999999,20,3,0.5516835016835017,0.54,0.32727272727272727,24.0
EQX1002,Crane,5,3,False,0,0.2222222222222222,0.8400000000000001,23,4,0.5526515151515152,0.5449999999999999,0.5555555555555556,23.0
EQX1002,Crane,6,0,False,0,0.46428571428571436,0.6,22,5,0.48656565656565653,0.604,0.2222222222222222,23.0
EQX1002,Crane,7,0,False,0,0.3018867924528302,0.74,12,6,0.48285233285233287,0.6033333333333334,0.46428571428571436,22.833333333333332
EQX1002,Crane,8,13,False,0,0.8148148148148148,0.5,14,7,0.45700011279526104,0.6228571428571429,0.3018867924528302,21.285714285714285
EQX1002,Crane,9,21,False,1,0.3103448275862069,0.8,21,8,0.5017269505477053,0.6075,0.8148148148148148,20.375
EQX1002,Crane,10,21,False,1,0.5087719298245614,0.5599999999999999,16,9,0.4804622702186499,0.6288888888888889,0.3103448275862069,20.444444444444443
EQX1002,Crane,11,4,False,0,0.3606557377049181,0.78,23,10,0.4832932361792411,0.622,0.5087719298245614,20.0
