Equipment ID,Type,Customer ID,Site ID,Check-Out Date,Check-In Date,Expected Return Date,Actual Check-In Date,Engine Hours/Day,Idle Hours/Day,Operating Days,Last Operator ID,penalty_charged,penalty_paid,is_overdue_now,cycle_number,gap_days_to_next_checkout,is_anomaly_ground_truth,is_last_cycle,label,idle_ratio,utilization,rental_length_days,n_prior_cycles,prior_idle_ratio_mean,prior_utilization_mean,prior_idle_ratio_last,prior_rental_length_mean,reallocatable_probability,reallocatable_flag
EQX1000,Grader,CUST18,S004,2025-01-01,2025-01-29,2025-01-30,2025-01-29,3.9,2.8,29,OP188,False,,False,1,8,False,False,0,0.41791044776119407,0.65,28,0,,,,,0.4158,False
EQX1000,Grader,CUST15,S003,2025-02-06,2025-02-22,2025-02-23,2025-02-22,4.2,2.5,17,OP305,False,,False,2,10,False,False,0,0.3731343283582089,0.7000000000000001,16,1,0.41791044776119407,0.65,0.41791044776119407,28.0,0.2602,False
EQX1000,Grader,CUST18,S002,2025-03-04,2025-03-31,2025-04-01,2025-03-31,4.5,1.3,28,OP143,False,,False,3,4,False,False,0,0.22413793103448276,0.75,27,2,0.3955223880597015,0.675,0.3731343283582089,22.0,0.3692,False
EQX1000,Grader,CUST16,S005,2025-04-04,2025-04-23,2025-04-24,2025-04-23,4.8,2.2,20,OP181,False,,False,4,4,False,False,0,0.31428571428571433,0.7999999999999999,19,3,0.3383942357179619,0.7000000000000001,0.22413793103448276,23.666666666666668,0.3327,False
EQX1000,Grader,CUST13,S001,2025-04-27,2025-05-25,2025-05-26,2025-05-25,5.0,2.0,29,OP188,False,,False,5,5,False,False,0,0.2857142857142857,0.8333333333333334,28,4,0.3323671053599,0.725,0.31428571428571433,22.5,0.2881,False
EQX1000,Grader,CUST09,S004,2025-05-30,2025-06-26,2025-06-26,2025-06-26,4.6,1.4,27,OP234,False,,False,6,13,False,False,0,0.2333333333333333,0.7666666666666666,27,5,0.32303654143077715,0.7466666666666667,0.2857142857142857,23.6,0.3029,False
EQX1000,Grader,CUST12,S006,2025-07-09,2025-07-30,2025-07-30,2025-07-30,3.1,2.7,21,OP318,False,,False,7,1,False,False,0,0.46551724137931033,0.5166666666666667,21,6,0.30808600674786984,0.75,0.2333333333333333,24.166666666666668,0.3305,False
EQX1000,Grader,CUST13,S003,2025-07-31,2025-08-26,2025-08-27,2025-08-26,5.0,1.8,27,OP162,False,,False,8,11,False,False,0,0.2647058823529412,0.8333333333333334,26,7,0.33057618312378995,0.7166666666666667,0.46551724137931033,23.714285714285715,0.2593,False
EQX1000,Grader,CUST15,S003,2025-09-06,2025-09-19,2025-09-20,2025-09-19,3.5,11.2,14,,False,,False,9,7,True,False,0,0.7619047619047619,0.5833333333333334,13,8,0.3223423955274338,0.73125,0.2647058823529412,24.0,0.3116,False
EQX1000,Grader,CUST12,S004,2025-09-26,2025-10-23,2025-10-23,2025-10-23,3.3,2.9,27,OP183,False,,False,10,23,False,False,1,0.467741935483871,0.5499999999999999,27,9,0.37118265845824805,0.7148148148148148,0.7619047619047619,22.77777777777778,0.4658,False
EQX1000,Grader,CUST07,S006,2025-11-15,2025-12-04,2025-12-05,2025-12-04,4.1,2.4,20,OP299,False,,False,11,2,False,False,0,0.3692307692307692,0.6833333333333332,19,10,0.38083858616081034,0.6983333333333334,0.467741935483871,23.2,0.2871,False
EQX1000,Grader,CUST09,S004,2025-12-06,2025-12-17,2025-12-17,2025-12-17,5.2,1.2,11,OP212,False,,False,12,3,False,False,0,0.18749999999999997,0.8666666666666667,11,11,0.37978333007626114,0.696969696969697,0.3692307692307692,22.818181818181817,0.1764,False
EQX1000,Grader,CUST02,S002,2025-12-20,2025-12-30,2025-12-31,2025-12-30,3.7,3.0,11,OP319,False,,False,13,8,False,True,,0.44776119402985076,0.6166666666666667,10,12,0.3637597192365727,0.7111111111111111,0.18749999999999997,21.833333333333332,0.3115,False
EQX1001,Grader,CUST17,S006,2025-01-01,2025-01-20,2025-01-20,2025-01-20,5.1,1.3,19,OP123,False,,False,1,17,False,False,1,0.20312500000000003,0.85,19,0,,,,,0.4231,False
EQX1001,Grader,CUST03,S004,2025-02-06,2025-02-19,2025-02-20,2025-02-19,3.7,3.0,14,OP286,False,,False,2,40,False,False,1,0.44776119402985076,0.6166666666666667,13,1,0.20312500000000003,0.85,0.20312500000000003,19.0,0.4205,False
EQX1001,Grader,CUST08,S002,2025-03-31,2025-04-12,2025-04-12,2025-04-12,3.6,3.4,12,OP203,False,,False,3,10,False,False,0,0.4857142857142857,0.6,12,2,0.3254430970149254,0.7333333333333334,0.44776119402985076,16.0,0.3154,False
EQX1001,Grader,CUST02,S001,2025-04-22,2025-05-20,2025-05-21,2025-05-20,4.6,2.0,29,OP147,False,,False,4,17,False,False,1,0.30303030303030304,0.7666666666666666,28,3,0.3788668265813788,0.6888888888888888,0.4857142857142857,14.666666666666666,0.451,False
EQX1001,Grader,CUST16,S003,2025-06-06,2025-07-03,2025-07-03,2025-07-03,2.8,3.8,27,OP247,False,,False,5,0,False,False,0,0.5757575757575758,0.4666666666666666,27,4,0.35990769569360986,0.7083333333333333,0.30303030303030304,18.0,0.4225,False
EQX1001,Grader,CUST03,S001,2025-07-03,2025-07-18,2025-07-18,2025-07-18,3.9,2.5,15,OP192,False,,False,6,2,False,False,0,0.390625,0.65,15,5,0.4030776717064031,0.6599999999999999,0.5757575757575758,19.8,0.3395,False
EQX1001,Grader,CUST04,S001,2025-07-20,2025-08-04,2025-08-05,2025-08-04,4.8,2.0,16,OP241,False,,False,7,6,False,False,0,0.29411764705882354,0.7999999999999999,15,6,0.40100222642200256,0.6583333333333333,0.390625,19.0,0.2997,False
EQX1001,Grader,CUST14,S006,2025-08-10,2025-09-07,2025-09-08,2025-09-07,4.5,2.3,29,OP137,False,,False,8,14,False,False,1,0.338235294117647,0.75,28,7,0.3857330007986913,0.6785714285714286,0.29411764705882354,18.428571428571427,0.4623,False
EQX1001,Grader,CUST15,S001,2025-09-21,2025-10-04,2025-10-05,2025-10-04,4.6,1.9,14,OP296,False,,False,9,4,False,False,0,0.29230769230769227,0.7666666666666666,13,8,0.37979578746356074,0.6875,0.338235294117647,19.625,0.2555,False
EQX1001,Grader,CUST06,S003,2025-10-08,2025-10-18,2025-10-18,2025-10-18,4.0,2.9,10,OP223,False,,False,10,27,False,False,1,0.42028985507246375,0.6666666666666666,10,9,0.37007488800179755,0.6962962962962963,0.29230769230769227,18.88888888888889,0.4088,False
EQX1001,Grader,CUST01,S003,2025-11-14,2025-11-30,2025-12-01,2025-11-30,2.5,3.6,17,OP227,False,,False,11,27,False,True,,0.5901639344262296,0.4166666666666667,16,10,0.3750963847088642,0.6933333333333334,0.42028985507246375,18.0,0.2865,False
EQX1002,Crane,CUST07,S001,2025-01-01,2025-01-26,2025-01-26,2025-01-26,3.7,2.3,25,OP135,False,,False,1,5,False,False,0,0.3833333333333333,0.74,25,0,,,,,0.4256,False
EQX1002,Crane,CUST02,S002,2025-01-31,2025-02-21,2025-02-21,2025-02-21,0.7,11.9,21,OP131,False,,False,2,25,True,False,1,0.9444444444444445,0.13999999999999999,21,1,0.3833333333333333,0.74,0.3833333333333333,25.0,0.5589,True
EQX1002,Crane,CUST17,S004,2025-03-18,2025-04-13,2025-04-13,2025-04-13,3.7,1.8,26,OP269,False,,False,3,1,False,False,0,0.32727272727272727,0.74,26,2,0.663888888888889,0.44,0.9444444444444445,23.0,0.4132,False
EQX1002,Crane,CUST13,S004,2025-04-14,2025-05-04,2025-05-04,2025-05-04,2.8,3.5,20,OP193,False,,False,4,5,False,False,0,0.5555555555555556,0.5599999999999999,20,3,0.5516835016835017,0.54,0.32727272727272727,24.0,0.3142,False
EQX1002,Crane,CUST17,S003,2025-05-09,2025-06-01,2025-06-02,2025-06-01,4.2,1.2,24,OP191,False,,False,5,3,False,False,0,0.2222222222222222,0.8400000000000001,23,4,0.5526515151515152,0.5449999999999999,0.5555555555555556,23.0,0.3094,False
EQX1002,Crane,CUST16,S001,2025-06-04,2025-06-26,2025-06-26,2025-06-26,3.0,2.6,22,OP216,False,,False,6,0,False,False,0,0.46428571428571436,0.6,22,5,0.48656565656565653,0.604,0.2222222222222222,23.0,0.3411,False
EQX1002,Crane,CUST16,S003,2025-06-26,2025-07-08,2025-07-08,2025-07-08,3.7,1.6,12,OP328,False,,False,7,0,False,False,0,0.3018867924528302,0.74,12,6,0.48285233285233287,0.6033333333333334,0.46428571428571436,22.833333333333332,0.2817,False
EQX1002,Crane,CUST05,S004,2025-07-08,2025-07-22,2025-07-23,2025-07-22,2.5,11.0,15,,False,,False,8,13,True,False,0,0.8148148148148148,0.5,14,7,0.45700011279526104,0.6228571428571429,0.3018867924528302,21.285714285714285,0.3244,False
EQX1002,Crane,CUST17,S004,2025-08-04,2025-08-25,2025-08-26,2025-08-25,4.0,1.8,22,OP227,False,,False,9,21,False,False,1,0.3103448275862069,0.8,21,8,0.5017269505477053,0.6075,0.8148148148148148,20.375,0.4626,False
EQX1002,Crane,CUST11,S005,2025-09-15,2025-10-01,2025-10-02,2025-10-01,2.8,2.9,17,OP111,False,,False,10,21,False,False,1,0.5087719298245614,0.5599999999999999,16,9,0.4804622702186499,0.6288888888888889,0.3103448275862069,20.444444444444443,0.4702,False
