customer_id,n_rentals,overdue_freq,penalty_rate,unpaid_penalty_rate,avg_idle_ratio,recent_overdue_freq,p_bad_model,reliability_rule,reliability_score,risk_tier,score_method
CUST01,40,0.025,0.025,1.0,0.4977360067430981,0.2,0.3474,44.8,45,High,rule_fallback
CUST02,46,0.0,0.0,0.0,0.5544198180056555,0.0,0.5459,100.0,100,Low,rule_fallback
CUST03,42,0.047619047619047616,0.047619047619047616,0.5,0.5475215027057365,0.0,0.1824,75.6,76,Low,rule_fallback
CUST04,43,0.023255813953488372,0.023255813953488372,0.0,0.5824678660241928,0.2,0.4509,70.2,70,Medium,rule_fallback
CUST05,42,0.09523809523809523,0.09523809523809523,0.5,0.6128477240509005,0.0,0.3968,63.7,64,Medium,rule_fallback
CUST06,50,0.02,0.02,1.0,0.5592306212654478,0.0,0.3193,70.0,70,Medium,rule_fallback
CUST07,44,0.0,0.0,0.0,0.5698435190025456,0.0,0.4209,100.0,100,Low,rule_fallback
CUST08,42,0.047619047619047616,0.047619047619047616,0.0,0.5068536009842833,0.0,0.2736,88.1,88,Low,rule_fallback
CUST09,44,0.045454545454545456,0.045454545454545456,1.0,0.6138094729249195,0.0,0.2676,63.6,64,Medium,rule_fallback
CUST10,43,0.11627906976744186,0.11627906976744186,0.0,0.6092258624709188,0.0,0.4784,70.9,71,Medium,rule_fallback
CUST11,40,0.025,0.025,0.0,0.6460785038551105,0.0,0.5429,93.8,94,Low,rule_fallback
CUST12,46,0.043478260869565216,0.043478260869565216,0.0,0.5934563706734098,0.0,0.2958,89.1,89,Low,rule_fallback
CUST13,49,0.061224489795918366,0.061224489795918366,0.3333333333333333,0.6720558903825959,0.0,0.5613,75.5,76,Low,rule_fallback
CUST14,35,0.0,0.0,0.0,0.5966630132856385,0.0,0.4035,100.0,100,Low,rule_fallback
CUST15,56,0.03571428571428571,0.03571428571428571,0.5,0.5192883198028913,0.0,0.5095,78.6,79,Low,rule_fallback
CUST16,46,0.043478260869565216,0.043478260869565216,0.0,0.5295355175206194,0.0,0.2777,89.1,89,Low,rule_fallback
CUST17,69,0.043478260869565216,0.043478260869565216,0.0,0.534470148154944,0.2,0.4005,65.1,65,Medium,rule_fallback
CUST18,49,0.04081632653061224,0.04081632653061224,0.0,0.5549249620364831,0.2,0.3003,65.8,66,Medium,rule_fallback
